name	id	artworks	associated_periods_or_movements	art_forms	art_series
Kenney Mencher	/guid/9202a8c04000641f8000000005aaae5d			Painting	
Steve \"Pablo\" Davis	/guid/9202a8c04000641f800000000559314b				
Gerald Festus Kelly	/guid/9202a8c04000641f8000000005a90410				
Gaspare Landi	/guid/9202a8c04000641f8000000005c381f2				
Jack Wemp	/guid/9202a8c04000641f800000000476e684			Painting	
Vincenzo Catena	/guid/9202a8c04000641f800000000483fddf			Painting	
Samuel Roker	/guid/9202a8c04000641f80000000057d10c9				
Yusuf Grillo	/guid/9202a8c04000641f80000000057eee55				
Hiromu Shinozuka	/guid/9202a8c04000641f800000000560baee				
Jules Olitski	/guid/9202a8c04000641f80000000047ce60c		Lyrical Abstraction,Abstract expressionism,Color Field	Sculpture,Painting,Printmaking	
Leonello Spada	/guid/9202a8c04000641f8000000004626063		Baroque	Painting	
Angela Dufresne	/guid/9202a8c04000641f80000000047200ad				
Mauro Antonio Tesi	/guid/9202a8c04000641f800000000570f554			Painting	
Adolph Northen	/guid/9202a8c04000641f8000000005ab235d				
Joseph Mathäus Aigner	/guid/9202a8c04000641f80000000056fd0df			Painting	
John Brett	/guid/9202a8c04000641f80000000045da877		Pre-Raphaelite Brotherhood		
Robert Dafford	/guid/9202a8c04000641f800000000474c459			Painting	
Anatoly Zverev	/guid/9202a8c04000641f8000000004635a72			Painting	
Minoru Furuya	/guid/9202a8c04000641f80000000056d6165				
Phaedon Anastasiades	/guid/9202a8c04000641f800000000465803c				
Aniella di Beltrano	/guid/9202a8c04000641f80000000056474ea			Painting	
Krzysztof Gliszczyński	/guid/9202a8c04000641f80000000056eac18			Painting	
Jehan Georges Vibert	/guid/9202a8c04000641f8000000005abc416			Painting	
Janez Zalaznik	/guid/9202a8c04000641f80000000045e413f				
Ivan Akimov	/guid/9202a8c04000641f800000000469ab1d				
Rei Izumi	/guid/9202a8c04000641f8000000005bd3cd6				
Tiberio d'Assisi	/guid/9202a8c04000641f800000000561b5a2			Painting	
John Lewis Brown	/guid/9202a8c04000641f8000000005636338			Painting	
Phillip Hefferton	/guid/9202a8c04000641f80000000056d4912			Painting	
Guy C. Wiggins	/guid/9202a8c04000641f80000000046f193f				
Grego Anderson	/guid/9202a8c04000641f8000000005b57f7f				
Filippo Napoletano	/guid/9202a8c04000641f80000000047c00d1		Baroque	Painting	
Janis Tilbergs	/guid/9202a8c04000641f8000000004847354			Painting	
Yutaka Tachibana	/guid/9202a8c04000641f8000000005681b52				
Guity Novin	/guid/9202a8c04000641f80000000046e3bf7			Painting	
Josefa de Óbidos	/guid/9202a8c04000641f800000000472ac13		Baroque	Painting	
Charlie I. Miller	/guid/9202a8c04000641f80000000076a7047				
Paul Seawright	/guid/9202a8c04000641f800000000763a833	Untitled (Sandwich)			
Marcel Jean	/guid/9202a8c04000641f800000000763a79b	Specter of the Gardenia,Le Spectre du Gardenia (The Specter of the Gardenia)			
Phil Hansen	/guid/9202a8c04000641f8000000006b35122				
Antonio Maragliano (and workshop)	/guid/9202a8c04000641f8000000007653a93	Virgin  of the Immaculate Conception			
Ray Komai	/guid/9202a8c04000641f800000000763bec8	Side Chair			
Panos Terlemezian	/guid/9202a8c04000641f8000000006f8d38d				
Bruce Conner	/guid/9202a8c04000641f800000000763b099	17-Mar-60,Dark Brown,Child,LOOKING GLASS,Untitled,ST. VALENTINE'S DAY MASSACRE/HOMAGE TO ERROL FLYNN,RAY CHARLES/SNAKESKIN,MUSIC,HOMAGE TO CHESSMAN,HEART/WORM/MIRROR,SOUND OF ONE HAND ANGEL			
Jean Pierre Capron	/guid/9202a8c04000641f8000000006c11d52				
Howard Lyon	/guid/9202a8c04000641f80000000076132a7				
Domenico Carretti	/guid/9202a8c04000641f8000000006bea86e			Painting	
Masashi Asaki	/guid/9202a8c04000641f8000000006f18c1d				
David Loggan	/guid/9202a8c04000641f8000000007691cc2			Painting	
Michelangelo Pistoletto	/guid/9202a8c04000641f80000000076b9038	Man with Yellow Pants			
Richards Ruben	/guid/9202a8c04000641f800000000763b967	Claremont 39,Double Portrait,Claremont 47,Genocide			
Edmund Lewandowski	/guid/9202a8c04000641f800000000763cbd5	The Silo			
Eugen Spiro	/guid/9202a8c04000641f800000000763b820	The Conqueror (No. 2 Le Conquerant)			
Sisyphus Painter	/guid/9202a8c04000641f8000000006c2ed51				
Jean Baptiste Joseph Wicar	/guid/9202a8c04000641f8000000007653dc4	Virgil Reading the \\"Aeneid\\" to Augustus, Octavia, and Livia			
Gabriele Caliari	/guid/9202a8c04000641f8000000006be616d			Painting	
Ferdinando Porta	/guid/9202a8c04000641f8000000006b0942f			Painting	
Felipe de Liaño	/guid/9202a8c04000641f8000000005e0b025			Painting	
Niccolò Musso	/guid/9202a8c04000641f8000000005e12d4e			Painting	
